name,code,:ID,:LABEL
Refugees under the mandate of the UNHCR by country or territory of origin,SM.POP.RHCR.EO,indicator::SM.POP.RHCR.EO,Indicator
Net migration,SM.POP.NETM,indicator::SM.POP.NETM,Indicator
Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,indicator::SM.POP.ASYS.EA,Indicator
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,indicator::SL.UEM.TOTL.ZS,Indicator
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,indicator::SL.UEM.TOTL.FE.ZS,Indicator
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,indicator::SL.TLF.TOTL.FE.ZS,Indicator
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,indicator::SL.TLF.ACTI.1524.ZS,Indicator
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,indicator::SL.TLF.ACTI.1524.FE.ZS,Indicator
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,indicator::SL.GDP.PCAP.EM.KD,Indicator
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,indicator::SL.EMP.WORK.MA.ZS,Indicator
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,indicator::SL.EMP.VULN.FE.ZS,Indicator
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,indicator::SL.EMP.SELF.ZS,Indicator
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,indicator::SL.EMP.MPYR.MA.ZS,Indicator
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,indicator::SL.EMP.1524.SP.MA.ZS,Indicator
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,indicator::SL.AGR.EMPL.ZS,Indicator
"UHC service coverage sub-index on reproductive, maternal, newborn and child health",SH_UHC_SCI_RMNCH,indicator::SH_UHC_SCI_RMNCH,Indicator
UHC service coverage index,SH_UHC_SCI,indicator::SH_UHC_SCI,Indicator
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,indicator::SH.XPD.PVTD.CH.ZS,Indicator
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,indicator::SH.XPD.GHED.PP.CD,Indicator
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,indicator::SH.XPD.GHED.CH.ZS,Indicator
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,indicator::SH.XPD.CHEX.PP.CD,Indicator
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,indicator::SH.TBS.INCD,Indicator
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,indicator::DT.DOD.DSTC.ZS,Indicator
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,indicator::DT.DOD.DPPG.CD,Indicator
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,indicator::DT.DOD.DECT.GN.ZS,Indicator
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,indicator::DC.DAC.TOTL.CD,Indicator
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,indicator::DC.DAC.PRTL.CD,Indicator
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,indicator::DC.DAC.NLDL.CD,Indicator
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,indicator::DC.DAC.JPNL.CD,Indicator
"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,indicator::DC.DAC.HUNL.CD,Indicator
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,indicator::DC.DAC.FINL.CD,Indicator
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,indicator::DC.DAC.DEUL.CD,Indicator
"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,indicator::SL.UEM.NEET.MA.ME.ZS,Indicator
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,indicator::SL.UEM.1524.ZS,Indicator
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,indicator::SL.UEM.1524.FE.ZS,Indicator
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,indicator::SL.TLF.CACT.MA.ZS,Indicator
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,indicator::SL.TLF.CACT.FE.ZS,Indicator
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,indicator::SL.TLF.ACTI.ZS,Indicator
