:START_ID,:END_ID,:TYPE
observation::IND::SM.POP.RHCR.EO::2015,indicator::SM.POP.RHCR.EO,OF_INDICATOR
observation::IND::SM.POP.NETM::2015,indicator::SM.POP.NETM,OF_INDICATOR
observation::IND::SM.POP.ASYS.EA::2015,indicator::SM.POP.ASYS.EA,OF_INDICATOR
observation::IND::SL.UEM.TOTL.ZS::2015,indicator::SL.UEM.TOTL.ZS,OF_INDICATOR
observation::IND::SL.UEM.TOTL.FE.ZS::2015,indicator::SL.UEM.TOTL.FE.ZS,OF_INDICATOR
observation::IND::SL.TLF.TOTL.FE.ZS::2015,indicator::SL.TLF.TOTL.FE.ZS,OF_INDICATOR
observation::IND::SL.TLF.ACTI.1524.ZS::2015,indicator::SL.TLF.ACTI.1524.ZS,OF_INDICATOR
observation::IND::SL.TLF.ACTI.1524.FE.ZS::2015,indicator::SL.TLF.ACTI.1524.FE.ZS,OF_INDICATOR
observation::IND::SL.GDP.PCAP.EM.KD::2015,indicator::SL.GDP.PCAP.EM.KD,OF_INDICATOR
observation::IND::SL.EMP.WORK.MA.ZS::2015,indicator::SL.EMP.WORK.MA.ZS,OF_INDICATOR
observation::IND::SL.EMP.VULN.FE.ZS::2015,indicator::SL.EMP.VULN.FE.ZS,OF_INDICATOR
observation::IND::SL.EMP.SELF.ZS::2015,indicator::SL.EMP.SELF.ZS,OF_INDICATOR
observation::IND::SL.EMP.MPYR.MA.ZS::2015,indicator::SL.EMP.MPYR.MA.ZS,OF_INDICATOR
observation::IND::SL.EMP.1524.SP.MA.ZS::2015,indicator::SL.EMP.1524.SP.MA.ZS,OF_INDICATOR
observation::IND::SL.AGR.EMPL.ZS::2015,indicator::SL.AGR.EMPL.ZS,OF_INDICATOR
observation::IND::SH_UHC_SCI_RMNCH::2015,indicator::SH_UHC_SCI_RMNCH,OF_INDICATOR
observation::IND::SH_UHC_SCI::2015,indicator::SH_UHC_SCI,OF_INDICATOR
observation::IND::SH.XPD.PVTD.CH.ZS::2015,indicator::SH.XPD.PVTD.CH.ZS,OF_INDICATOR
